CASE1,CASE2,CASE3,CASE4
1440.1,1440.1,1452.5,1452.9
1440.1,1440.1,1452.5,1453.4
1440,1440,1452.6,1454.3
1439.9,1439.9,1452.5,1455.4
1439.8,1439.8,1452.3,1456.6
1439.8,1439.8,1452.1,1457.8
1439.7,1439.7,1452.2,1458.6
1439.6,1439.6,1452.5,1459
1439.4,1439.4,1453,1458.9
1439.3,1439.3,1453.5,1458.4
1439.2,1439.2,1454,1457.6
1439.1,1439.1,1454.3,1457
1439,1439,1454.6,1457
1438.9,1438.9,1454.9,1457.7
1438.9,1438.9,1455.3,1459.4
1438.8,1438.8,1455.6,1461.4
1438.7,1438.7,1455.8,1463.3
1438.7,1438.7,1455.9,1464.7
1438.7,1438.7,1455.8,1465.2
1438.7,1438.7,1455.5,1465
1438.8,1438.8,1455,1464.8
1438.8,1438.8,1454.4,1464.7
1439,1439,1454,1464.9
1439.1,1439.1,1453.7,1465.2
1439.3,1439.3,1453.6,1465.1
1439.4,1439.4,1453.6,1464.1
